timestamp,Infrared to Red Signal Ratio
04/07/26 01:23:00,0
04/07/26 01:24:00,-4
04/07/26 01:25:00,1
04/07/26 01:26:00,13
04/07/26 01:27:00,2
04/07/26 01:28:00,0
04/07/26 19:28:30,20
04/07/26 19:29:30,-1
04/07/26 19:30:30,9
04/07/26 19:31:30,-11
04/07/26 19:32:30,58
04/07/26 19:33:30,4
04/07/26 19:34:30,4
04/07/26 19:35:30,12
04/07/26 19:36:30,13
04/07/26 19:37:30,0
04/07/26 19:38:30,0
04/07/26 19:39:30,0
04/07/26 19:40:30,-72
04/07/26 19:41:30,-2
04/07/26 19:42:30,0
04/07/26 19:43:30,33
04/07/26 19:44:30,1
04/07/26 19:45:30,4
04/07/26 19:46:30,-4
04/07/26 19:47:30,0
04/07/26 19:48:30,0
04/07/26 19:49:30,-3
04/07/26 19:50:30,4
04/07/26 19:51:30,-23
04/07/26 19:52:30,0
04/07/26 19:53:30,12
04/07/26 19:54:30,0
04/07/26 19:55:30,0
04/07/26 19:56:30,0
