timestamp,heart rate zone type,data source
2026-03-26T17:58:00Z,LIGHT,Fitbit App
2026-03-26T17:59:00Z,LIGHT,Fitbit App
2026-03-26T18:00:00Z,LIGHT,Fitbit App
2026-03-26T18:28:00Z,LIGHT,Fitbit App
2026-03-26T18:29:00Z,LIGHT,Fitbit App
2026-03-26T18:30:00Z,LIGHT,Fitbit App
2026-03-26T18:49:00Z,LIGHT,Fitbit App
2026-03-26T18:50:00Z,LIGHT,Fitbit App
2026-03-26T18:51:00Z,LIGHT,Fitbit App
2026-03-27T20:06:00Z,LIGHT,Fitbit App
2026-03-27T20:07:00Z,LIGHT,Fitbit App
2026-03-31T17:11:00Z,LIGHT,Fitbit App
2026-03-31T17:12:00Z,LIGHT,Fitbit App
2026-03-31T18:23:00Z,VIGOROUS,Fitbit App
